Cust_ID,Email,Phone_Num,Address,Password,Payment_Type
1,RiverJ@gmails.com,202-555-0161,"8463 Temple Ave.Yuma  AZ 85365",5F4DCC3B5AA765D61D8327DEB882CF99,Credit
2,HarleyK@gmails.com,202-555-0154,"7681 Hawthorne Lane Bronx  NY 10451",BB3D5D4965CF74857BC051ED21B8E0DF,Credit
3,JackieN@gmails.com,202-555-0154,"7430 Smoky Hollow Dr. Grove City  OH 43123",5E9D11A14AD1C8DD77E98EF9B53FD1BA,Credit
4,LynnW@gmails.com,202-555-0154,"584 Pheasant Road  Libertyville  IL 60048",DCDF6B5036597C47042EEC218720C0B6,Debit
5,AverryH@gmails.com,202-555-0136,"43 Maiden Drive Langhorne  PA 19047",3B73CCA8B7D9D93A834631FB22769334,Debit
6,MelF@gmails.com,202-555-0136,"973 Nichols Lane Jupiter  FL 33458",72B302BF297A228A75730123EFEF7C41,Giftcard
7,JohnJ@Gmails.com,202-555-0126,"939 6th St. North Augusta  SC 29841",3E46004A410725B9F8584048291A28CF,Debit
8,JaneM@gmails.com,202-555-0126,"14 Annadale Street Ypsilanti  MI 48197",8B433670258F79578F9A4E5EA388B007,Credit
9,CharlieM@gmails.com,202-555-0152,"55 Carson Rd. Mahopac  NY 10541",06CFD4B175971CB17CDA5E76215151A1,Giftcard
10,testuser@gmail.com,808-555-5555,Non of your business sr HI 96720,test,Credit
